station_id,eva,gtfs_name,db_name,method,score
de:08416:1005_Parent,08005197,Rottenburg Bahnhof,Rottenburg (Neckar),timetable,1.0
de:08416:2503,08003248,Kiebingen Bhf,Kiebingen,timetable,1.0
de:08111:6002_Parent,08005776,Vaihingen,Stuttgart-Vaihingen,timetable,1.0
de:08115:7100_Parent,08001055,Böblingen,Böblingen,timetable,0.986
de:08317:12103_Parent,08003494,Lahr (Schwarzw),Lahr (Schwarzw),timetable,1.0
de:08317:18601_Parent,08004683,Orschweier,Orschweier,timetable,1.0
de:08317:16700_Parent,08005101,Ringsheim/Europa-Park,Ringsheim/Europa-Park,timetable,1.0
de:08316:6562_Parent,08002763,Herbolzheim (Brsg) Bahnhof,Herbolzheim (Breisgau),timetable,1.0
de:08316:6518,08003233,Kenzingen Bahnhof,Kenzingen,timetable,1.0
de:08316:5290_Parent,08005090,Riegel-Malterdingen,Riegel-Malterdingen,timetable,1.0
de:08316:90_Parent,08001771,Emmendingen Bahnhof,Emmendingen,timetable,0.988
de:08315:6677_Parent,08005317,Schallstadt Bahnhof,Schallstadt,timetable,1.0
de:08315:6665_Parent,08002727,Heitersheim Bahnhof,Heitersheim,timetable,1.0
de:08315:6522_Parent,08004124,Müllheim im Markgräflerland Bf,Müllheim im Markgräflerland,timetable,1.0
de:08336:6678,08005364,Schliengen Bahnhof,Schliengen,timetable,1.0
de:08336:6628,08000864,Bad Bellingen Bahnhof,Bad Bellingen,timetable,1.0
de:08336:6631_Parent,08001671,Efringen-Kirchen Bahnhof,Efringen-Kirchen,timetable,1.0
de:08336:6638,08002546,Haltingen Bahnhof,Haltingen,timetable,1.0
de:08336:6639_Parent,08006272,Weil am Rhein Bahnhof,Weil am Rhein,timetable,1.0
de:08317:16220,08002123,Friesenheim (Baden),Friesenheim (Baden),timetable,1.0
de:08316:6668,08003374,Köndringen Bahnhof,Köndringen,timetable,1.0
de:08316:729,08005836,Teningen-Mundingen Bahnhof,Teningen-Mundingen,timetable,1.0
de:08316:6667_Parent,08003398,Kollmarsreute Bahnhof,Kollmarsreute,timetable,1.0
de:08315:6644,08001262,Buggingen Bahnhof,Buggingen,timetable,1.0
de:08315:6642,08000657,Auggen Bahnhof,Auggen,timetable,1.0
de:08336:6634_Parent,08001715,Eimeldingen Bahnhof,Eimeldingen,timetable,1.0
de:08311:6589,08002069,"Freiburg, St. Georgen Bahnhof",Freiburg-St Georgen,timetable,1.0
de:08315:6661,08001643,Ebringen (Frbg) Bahnhof,Ebringen,timetable,1.0
de:08315:6670,08004464,Norsingen Bahnhof,Norsingen,timetable,1.0
de:08336:6629,08005068,Rheinweiler Bahnhof,Rheinweiler,timetable,1.0
de:08336:6633,08003325,Kleinkems Bahnhof,Kleinkems,timetable,1.0
de:08336:6632,08003098,Istein Bahnhof,Istein,timetable,1.0
de:08216:1820_Parent,08000963,Bietigheim (Baden),Bietigheim (Baden),timetable,1.0
de:08216:1821_Parent,08004636,Ötigheim,Ötigheim,timetable,1.0
de:08125:620_Parent,08004220,Neckarsulm,Neckarsulm,timetable,1.0
de:08121:26_Parent,08000157,Heilbronn Hauptbahnhof,Heilbronn Hbf,timetable,1.0
de:08125:8155,08004458,Nordheim (Württ),Nordheim (Württ),timetable,1.0
de:08125:1438_Parent,08003588,Lauffen (N),Lauffen (Neckar),timetable,1.0
de:08118:5723_Parent,08003278,Kirchheim (N),Kirchheim (Neckar),timetable,1.0
de:08118:5785_Parent,08006171,Walheim,Walheim (Württ),timetable,1.0
de:08118:5583_Parent,08000925,Besigheim,Besigheim,timetable,1.0
de:08128:13805_Parent,08000221,"Lauda, Bahnhof",Lauda,timetable,1.0
de:09663:177_Parent,08000260,Würzburg Hbf,Würzburg Hbf,timetable,1.0
de:08121:75_Parent,08002699,Heilbronn Sülmertor,Heilbronn Sülmertor,timetable,1.0
de:08128:13824,08002243,"Gerlachsheim, Bahnhof",Gerlachsheim,timetable,1.0
de:08128:12503,08002447,"Grünsfeld, Bahnhof",Grünsfeld,timetable,1.0
de:08128:12541,08006662,"Zimmern, Bahnhof",Zimmern (Main-Tauber),timetable,1.0
de:08128:13702,08006517,"Wittighausen, Bahnhof",Wittighausen,timetable,1.0
de:09679:99001,08002195,Gaubüttelbrunn,Gaubüttelbrunn,timetable,1.0
de:09679:5010,08003284,Kirchheim (Unterfr),Kirchheim (Unterfr),timetable,1.0
de:09679:5005,08002251,Geroldshausen Bahnhof,Geroldshausen,timetable,1.0
de:09679:99005,08005002,Reichenberg (Unterfr),Reichenberg,timetable,1.0
de:09663:54,08006582,Würzburg Süd,Würzburg Süd,timetable,1.0
de:08125:519_Parent,08000017,Bad Friedrichshall Hbf,Bad Friedrichshall Hbf,timetable,1.0
de:08125:2002_Parent,08000765,Bad Wimpfen,Bad Wimpfen,timetable,1.0
de:08125:4615_Parent,08000736,Bad Rappenau,Bad Rappenau,timetable,1.0
de:08226:3561_Parent,08005714,"Steinsfurt, Bahnhof",Steinsfurt,timetable,1.0
de:08226:3550_Parent,08005578,"Sinsheim, Hauptbahnhof",Sinsheim (Elsenz) Hbf,timetable,1.0
de:08226:2835_Parent,08003932,"Meckesheim, Bahnhof",Meckesheim,timetable,1.0
de:08226:2986_Parent,08000265,"Neckargemünd, Bahnhof",Neckargemünd,timetable,1.0
de:08125:4595,08000706,"Bad Wimpfen, Im Tal",Bad Wimpfen im Tal,timetable,1.0
de:08125:5606,08000766,Bad Wimpfen-Hohenstadt,Bad Wimpfen-Hohenstadt,timetable,1.0
de:08125:1630,08000777,Bad Rappenau Kurpark,Bad Rappenau Kurpark,timetable,1.0
de:08125:6232,08000681,Babstadt,Babstadt,timetable,1.0
de:08125:9200,08002380,Grombach,Grombach,timetable,1.0
de:08226:3558_Parent,08070097,"Sinsheim, Museum/Arena",Sinsheim Museum/Arena,timetable,1.0
de:08317:18733,08002480,Gutach Freilichtmuseum,Gutach Freilichtmuseum,timetable,1.0
de:08118:1402_Parent,08003411,Kornwestheim,Kornwestheim Pbf,timetable,1.0
